SenderAppUserId,RecipientAppUserId,Status
1997,49257,1
50992,75281,0
39320,47457,0
9565,47567,1
62452,70329,1
11050,52367,0
27627,67721,0
3533,74538,0
42223,52297,0
63685,81184,1
35427,59357,1
8948,16058,0
25680,49939,0
45029,99980,0
12816,47572,1
24041,40038,1
64102,82950,1
95824,97732,1
69707,99325,1
46604,71553,0
7367,37714,0
45535,77158,1
57360,77212,1
8006,82833,0
43668,99084,0
2973,47466,1
27658,44846,1
20629,67275,1
4683,77649,1
2585,27245,0
37531,71264,0
42787,96882,1
23121,88336,0
22937,29615,0
27039,32765,1
20872,41308,1
64352,93277,0
13674,62947,0
28913,78354,0
38662,42955,0
38307,78858,1
21612,98864,1
29471,45508,1
44496,81510,0
15674,85107,0
31309,43151,0
9694,79923,1
68227,97147,0
40850,71930,1
64403,75893,0
29433,33596,1
6010,23841,0
12639,24965,1
56665,79242,1
38963,69011,1
6988,48255,1
16007,25128,1
70493,81878,1
2893,68895,0
32464,55879,0
5616,96808,0
30105,59860,0
86456,89275,1
26991,54761,0
24333,48248,0
54972,68707,0
45567,69883,0
32198,98357,1
38213,91936,0
14164,63522,1
80846,94916,1
65205,98965,0
31419,47142,0
2465,56348,1
86099,97390,1
81510,88967,0
42626,56450,1
15756,34822,0
30906,82708,0
6037,62653,0
37533,80691,0
59196,82958,1
12343,97677,1
31246,99822,1
39903,56798,0
54437,55864,0
35234,87184,1
16511,89600,1
10228,67825,0
86016,94780,0
1284,16666,1
26244,56420,1
14303,27534,0
40773,71516,0
6952,36274,0
29804,44421,0
24221,46402,1
76093,96620,1
46457,68490,0
18379,19207,1
27687,68161,1
34838,42286,0
27943,30114,1
46935,74220,0
14673,24143,1
4584,97081,1
26288,68301,1
59399,92386,1
26010,26857,1
70228,78416,0
11723,56012,1
36528,74893,0
10033,47006,1
9690,53652,1
61188,79189,0
31293,71932,0
3452,13237,1
58624,85690,0
37855,85366,0
12231,81282,0
28139,34806,1
22009,25557,0
22172,49200,1
14329,86550,0
38469,68839,0
38579,87963,1
9238,63328,0
40893,49651,1
48281,53293,1
12977,62026,0
22830,91927,0
6949,44989,0
40623,86018,1
45593,89782,1
6206,65154,1
180,57705,0
6060,59663,0
28552,94917,1
39007,51320,0
35560,83137,1
66305,74742,1
21575,76368,0
63215,71090,1
73763,77895,0
14164,24628,0
17013,79281,0
26250,76837,1
20928,43567,0
10501,35483,1
66154,91983,0
8350,25642,0
80448,90672,0
4421,73738,1
43208,74612,1
3850,19370,1
45544,45757,0
85927,95620,0
14248,82081,1
45531,71645,1
5216,35258,1
64578,79383,1
76368,81071,0
33266,96680,0
19418,81245,1
30778,41678,0
9691,85332,1
59013,67356,0
34150,69448,1
4381,30444,0
26219,73956,1
45267,68639,1
29893,98503,0
60690,90989,1
58154,75945,1
37694,68421,0
24737,35614,0
1106,9504,1
39004,92626,0
3708,73015,1
67266,78016,1
51611,69910,1
8509,61986,0
9512,50283,0
4471,53232,0
72373,75618,0
23066,42656,0
755,85510,1
15692,97141,1
52892,60471,0
8838,69737,0
19095,31455,0
20629,88208,1
2144,25108,1
26422,63585,1
43773,63854,1
2324,46871,0
27039,46540,0
12315,46737,1
3792,12363,1
39310,91065,0
38861,67299,0
26474,90266,0
28149,80055,0
61357,75569,0
7852,19429,1
9135,95395,0
28353,71510,1
30460,82433,1
59278,99755,1
5378,44429,1
8507,40761,0
19532,29804,0
11410,52300,0
19531,50013,1
75533,97467,0
64011,74053,0
62109,94329,0
13844,92136,1
83922,87061,1
10922,60898,0
10815,75553,1
37704,89838,1
76126,96962,1
22502,61557,1
59865,82920,1
33732,81787,1
14621,17354,0
44778,90187,0
29008,57492,0
4513,26914,1
20886,95762,1
8942,91838,0
32131,54866,1
2292,29256,1
14878,79235,1
68235,71994,1
62422,68649,0
11261,24321,1
56285,74546,0
50841,64584,1
11157,22433,0
52148,58691,1
42277,78319,1
13610,99683,1
28784,80781,1
12463,36865,1
56750,65715,1
13068,98336,1
29080,84800,0
56762,85252,0
31064,33821,0
15562,84200,1
10068,47321,0
18757,26782,1
53601,84192,0
11284,84853,1
365,11941,0
4748,41741,0
10735,70705,1
16320,88010,0
27969,98649,0
18468,98376,0
69778,82245,0
51979,84459,0
40095,78735,0
6565,82394,1
20098,43909,1
7333,97532,1
85193,94662,1
85270,85938,0
61620,93415,0
46056,49648,0
24066,71127,1
43709,97361,1
2975,9941,0
67258,69567,0
18198,80247,0
45116,90466,0
10762,86716,1
29893,76813,0
30852,47624,0
50565,98628,1
4425,80769,1
18188,55238,1
38347,70022,1
53989,78236,0
27582,39347,1
83631,87286,1
27725,66987,1
11333,26652,1
10236,40952,1
50583,99887,1
30005,45832,1
1984,99028,0
7015,83395,0
37631,69406,0
81504,94953,0
19968,66953,0
37760,87431,0
61561,82311,0
31736,77954,1
2610,22395,0
14585,65444,0
4380,24556,1
31198,63299,0
2569,44049,0
61915,91127,1
34538,42746,1
65958,70331,0
15008,37028,0
28804,53103,1
74766,89735,0
7258,52981,1
63,83510,1
31039,42628,0
16328,30688,1
3931,11870,0
12480,98202,1
8953,91625,1
22388,34094,0
5742,81367,0
55798,96032,0
3634,89918,0
31877,96048,0
22620,63785,0
80455,91538,0
65685,68880,0
28553,69994,0
27843,74854,1
6233,10183,0
6630,56083,1
27247,88631,1
68096,92382,1
35598,66837,0
9043,92217,0
55801,84383,0
20907,76960,1
9636,42660,1
50434,53907,1
77970,99082,1
21590,96330,0
35458,79971,1
21636,26792,0
3333,81171,1
74,62044,0
33271,50857,1
53940,89937,0
12891,24869,1
24368,95373,1
22173,32495,1
54491,72892,0
85879,87520,1
51924,80447,1
1614,9364,0
56765,84991,1
2082,30692,1
30391,83669,0
536,64431,1
88536,98348,0
19632,67382,1
22857,55936,1
52884,74751,1
49131,97185,1
20847,52183,0
10642,81496,1
40773,56637,1
27420,88039,1
51940,96974,1
6066,65169,0
35875,96675,0
16163,85945,0
19897,89420,0
4471,43133,0
24671,69551,0
58145,73169,1
1084,70878,0
35165,39995,1
50834,67594,0
53786,55375,1
15706,18090,0
67635,85329,0
34764,76425,1
40064,62794,0
19180,74078,1
1400,6577,1
14621,72185,1
27420,73012,0
31228,38475,0
29750,40792,1
18543,71644,1
3908,14328,0
16272,74521,0
63835,76755,0
30963,66972,0
77690,99298,0
7291,20431,1
25779,63712,1
70379,80468,0
5328,41865,1
23521,59944,0
19051,87233,1
24138,96457,0
16328,41798,0
13471,89805,1
16736,60094,0
9791,48320,0
40635,55069,1
10328,88811,0
14949,18136,0
48617,93044,0
59555,94757,0
80651,98024,0
9972,70369,1
33987,73376,1
68096,68447,0
1523,53967,1
56922,70063,0
37415,88032,0
31601,35985,0
30178,81077,0
49645,92444,1
52979,90066,0
54257,74627,1
3908,63891,0
49320,70387,1
41095,95142,0
56354,57554,0
6988,22286,0
8819,56472,0
18668,32154,0
89516,94949,0
26585,66787,0
6067,39523,1
78720,85428,1
54620,73500,1
52414,65974,1
52648,78096,1
14815,67060,0
25584,74477,0
9637,39572,1
64156,86003,1
29788,87567,1
79507,85531,0
7855,74632,1
13199,77748,0
27903,51063,0
43151,60001,0
35791,97362,1
61595,99474,1
28809,79766,0
8236,96554,1
11681,93205,1
71031,93300,0
907,57521,1
